acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,mbti
0.705,0.296,0.463,0.0482,5,0.0954,-11.412,0.0449,123.943,5,0.0629,2
9.82e-05,0.541,0.992,0.756,0,0.126,-3.728,0.0511,138.015,4,0.333,2
0.0548,0.368,0.834,0.589,0,0.173,-8.942,0.0326,170.398,4,0.326,2
0.802,0.713,0.622,0.845,5,0.0944,-11.466,0.0299,124.693,4,0.516,2
0.0349,0.622,0.737,4.6e-06,2,0.318,-9.296,0.0289,130.255,4,0.742,2
0.0986,0.64,0.868,0.0454,11,0.242,-5.527,0.0341,115.968,4,0.798,2
7.8e-05,0.63,0.884,0.525,7,0.348,-6.308,0.0295,142.759,4,0.891,2
0.342,0.51,0.505,0.96,9,0.117,-13.053,0.0344,114.532,4,0.318,2
0.0782,0.693,0.394,0.000694,0,0.247,-15.882,0.0428,104.114,4,0.721,2
0.0638,0.36,0.501,9.32e-05,7,0.172,-9.129,0.0258,74.807,4,0.324,2
0.027,0.795,0.812,0.579,9,0.0804,-8.389,0.0376,119.99,4,0.423,2
0.533,0.702,0.61,0.000631,5,0.379,-10.075,0.0368,119.975,4,0.332,2
0.0706,0.811,0.761,2.01e-05,5,0.136,-5.281,0.0605,117.983,4,0.74,2
0.212,0.828,0.435,0.00367,4,0.0996,-11.532,0.0484,120.015,4,0.447,2
0.0719,0.684,0.852,0,7,0.482,-5.646,0.0943,114.969,4,0.533,2
0.133,0.665,0.738,0,8,0.12,-6.136,0.0337,124.061,4,0.496,2
0.00652,0.675,0.795,0.00126,9,0.191,-6.324,0.0343,120.002,4,0.151,2
0.541,0.644,0.572,0.00609,3,0.118,-9.504,0.0477,119.947,3,0.125,2
0.106,0.699,0.519,0.16,7,0.115,-8.623,0.0566,115.066,4,0.0522,2
0.157,0.8,0.52,0.73,4,0.08,-9.346,0.245,115.983,4,0.292,2
0.758,0.573,0.44,1.92e-05,1,0.276,-15.567,0.323,99.956,4,0.121,2
0.171,0.789,0.638,0.0337,11,0.274,-7.515,0.045,117.026,4,0.427,2
0.084,0.624,0.767,4.93e-06,10,0.0982,-8.133,0.0786,119.99,4,0.0379,2
0.144,0.66,0.797,0.115,8,0.25,-7.713,0.0378,124.944,4,0.427,2
0.15,0.674,0.5,0.482,7,0.0999,-11.93,0.0304,124.042,4,0.132,2
0.0847,0.761,0.796,0,0,0.0752,-4.88,0.164,122.045,4,0.683,2
0.0823,0.804,0.648,1.51e-06,6,0.121,-6.835,0.0392,117.985,4,0.812,2
0.224,0.713,0.741,0.000135,5,0.117,-5.695,0.033,122.133,4,0.526,2
0.722,0.698,0.666,0.195,0,0.146,-10.01,0.0407,111.963,4,0.443,2
0.895,0.648,0.577,0.0446,6,0.0848,-9.916,0.144,97.91,4,0.353,2
0.774,0.735,0.544,0.193,8,0.137,-10.687,0.229,120.958,4,0.251,2
0.568,0.601,0.635,0.823,11,0.0918,-16.503,0.0425,121.029,4,0.0392,2
0.619,0.69,0.367,0.00592,0,0.0702,-10.333,0.0531,107.025,4,0.179,2
0.307,0.756,0.6,0.377,6,0.0953,-9.658,0.0547,119.988,4,0.12,2
0.668,0.711,0.747,0.921,1,0.0868,-9.725,0.0444,120.043,4,0.03,2
0.162,0.644,0.632,0.342,2,0.132,-5.927,0.0376,114.986,4,0.219,2
0.611,0.413,0.545,0.912,8,0.076,-12.199,0.113,119.053,4,0.0546,2
0.512,0.682,0.585,0.0236,5,0.25,-8.971,0.0854,117.098,4,0.318,2
0.176,0.715,0.733,0.00014,1,0.204,-7.258,0.0497,116.148,4,0.245,2
0.261,0.687,0.619,0.000615,9,0.15,-8.861,0.0363,122.987,4,0.415,2
0.117,0.703,0.677,1.13e-06,9,0.211,-6.589,0.0353,121.992,4,0.545,2
0.0594,0.605,0.82,0.924,9,0.118,-9.772,0.0366,120.02,4,0.0358,2
0.119,0.572,0.802,0,5,0.142,-6.982,0.0597,117.973,4,0.372,2
0.0617,0.665,0.792,0,11,0.393,-4.787,0.0681,115.98,4,0.331,2
0.407,0.749,0.668,0.0364,7,0.097,-12.781,0.119,117.988,4,0.0391,2
0.803,0.736,0.692,0.921,4,0.108,-11.504,0.0689,120.021,4,0.0395,2
0.322,0.797,0.554,0.0709,9,0.0939,-8.161,0.0665,112.976,4,0.403,2
0.271,0.621,0.439,0.00164,11,0.102,-10.248,0.0294,119.962,4,0.352,2
0.55,0.292,0.338,0.546,6,0.185,-14.421,0.0424,119.924,4,0.035,2
0.612,0.542,0.483,0.281,5,0.0836,-13.711,0.074,120.029,4,0.14,2
0.787,0.365,0.295,0.39,11,0.107,-15.071,0.0591,109.911,4,0.0613,2
0.0666,0.586,0.811,0.631,8,0.318,-12.527,0.0364,122.014,4,0.0383,2
0.236,0.625,0.567,0.000106,8,0.464,-8.485,0.114,117.991,4,0.45,2
0.773,0.921,0.491,0.792,3,0.0746,-12.086,0.0871,120.001,4,0.0895,2
0.303,0.742,0.461,0.0173,0,0.112,-12.369,0.292,120.034,4,0.118,2
0.387,0.644,0.619,0.623,1,0.137,-11.184,0.0352,119.981,4,0.109,2
0.842,0.675,0.581,0.213,11,0.112,-13.326,0.0513,120.04,4,0.0585,2
0.259,0.428,0.493,2.04e-06,0,0.084,-9.754,0.0351,105.138,4,0.154,2
0.669,0.785,0.525,0.439,6,0.114,-7.556,0.042,90.853,4,0.251,2
0.753,0.81,0.566,0.91,1,0.147,-12.702,0.0507,117.963,4,0.101,2
0.0839,0.711,0.485,0.811,4,0.0873,-12.025,0.0455,107.994,4,0.0829,2
0.252,0.704,0.59,0.00178,6,0.102,-9.603,0.0769,100.107,4,0.419,2
0.0708,0.665,0.704,0.023,0,0.274,-7.933,0.0253,99.957,4,0.336,2
0.238,0.75,0.795,0.000277,10,0.343,-4.871,0.0686,120.026,4,0.143,2
0.0327,0.535,0.683,0.000225,1,0.309,-9.903,0.0492,121.02,4,0.119,2
0.65,0.54,0.882,0.0115,3,0.276,-6.789,0.0495,119.965,4,0.0876,2
0.498,0.72,0.591,0.855,11,0.121,-8.902,0.0335,117.977,4,0.234,2
0.00961,0.715,0.748,0,1,0.0536,-5.342,0.0364,115.051,4,0.443,2
0.0127,0.647,0.691,3.89e-06,4,0.198,-7.246,0.0299,125.999,4,0.289,2
0.2,0.608,0.794,1.21e-05,7,0.133,-6.648,0.0451,124.024,4,0.4,2
0.0211,0.634,0.679,3.52e-06,5,0.721,-6.22,0.0545,111.998,4,0.225,2
0.384,0.687,0.636,0.366,9,0.281,-10.205,0.0344,105.987,4,0.251,2
0.00484,0.862,0.517,0.103,8,0.0988,-7.625,0.0508,118.004,4,0.504,2
0.33,0.699,0.708,0.0017,9,0.13,-8.241,0.0612,120.006,4,0.158,2
0.554,0.761,0.492,0.0116,11,0.124,-6.655,0.11,118.019,4,0.468,2
0.836,0.611,0.539,0.846,7,0.619,-13.219,0.0903,116.049,4,0.0648,2
0.0268,0.588,0.615,0.361,3,0.0996,-7.24,0.0311,99.997,4,0.139,2
0.138,0.682,0.707,0.026,6,0.0828,-8.725,0.0249,111.97,4,0.145,2
0.462,0.58,0.693,0,8,0.103,-6.484,0.0486,99.94,4,0.557,2
0.198,0.573,0.662,0,9,0.202,-7.386,0.026,104.967,4,0.401,2
0.388,0.646,0.621,0.0865,3,0.24,-8.984,0.0846,123.06,4,0.182,2
0.467,0.748,0.556,0.00827,0,0.1,-9.586,0.0473,119.996,4,0.227,2
0.533,0.495,0.591,0.0735,8,0.0926,-11.083,0.0603,104.767,4,0.131,2
0.843,0.624,0.267,0.912,5,0.118,-22.066,0.0809,100.007,4,0.163,2
0.668,0.61,0.556,0.000234,4,0.288,-7.145,0.062,109.719,4,0.4,2
0.426,0.584,0.626,0.654,8,0.119,-11.151,0.0899,114.954,4,0.235,2
0.204,0.742,0.575,0.0704,6,0.118,-10.082,0.0952,119.033,3,0.371,2
0.631,0.437,0.529,0.000368,8,0.0948,-11.953,0.0586,114.964,4,0.39,2
0.798,0.639,0.649,0.832,10,0.118,-10.019,0.0452,124.986,4,0.0762,2
0.87,0.69,0.461,0.761,10,0.115,-19.167,0.0596,119.991,4,0.0964,2
0.7,0.642,0.248,0.888,1,0.101,-24.929,0.0571,119.977,4,0.16,2
0.0169,0.548,0.566,0.000304,4,0.196,-7.503,0.0268,110.017,4,0.0631,2
0.0232,0.757,0.714,2.1e-05,1,0.0672,-7.112,0.0294,125.043,4,0.418,2
0.0234,0.806,0.741,3.73e-05,1,0.0746,-6.362,0.0471,119.971,4,0.563,2
0.215,0.601,0.671,0,7,0.458,-6.179,0.037,120.016,4,0.113,2
0.532,0.702,0.444,0,10,0.0923,-11.445,0.031,119.026,4,0.634,2
0.356,0.435,0.55,0.0435,2,0.273,-8.548,0.153,114.942,4,0.229,2
0.101,0.713,0.721,0.799,8,0.14,-10.746,0.0379,119.98,4,0.13,2
0.267,0.742,0.597,0.0108,8,0.162,-8.697,0.0353,121.964,4,0.129,2
0.000574,0.489,0.753,1.06e-05,1,0.11,-6.733,0.0596,115.061,4,0.292,2
0.0697,0.683,0.71,0.0519,5,0.204,-6.364,0.0875,114.98,4,0.0994,2
0.521,0.708,0.546,0.655,0,0.119,-12.17,0.0542,124.021,4,0.522,2
0.236,0.728,0.606,0.000379,9,0.232,-8.757,0.271,118.125,4,0.2,2
0.0315,0.628,0.55,0,6,0.0971,-10.22,0.0482,114.952,4,0.418,2
0.119,0.816,0.783,0.507,7,0.111,-6.711,0.0313,120.041,4,0.631,2
0.181,0.68,0.582,0,4,0.11,-8.652,0.0336,110.005,4,0.295,2
0.303,0.634,0.581,0.00431,6,0.342,-8.848,0.197,112.062,4,0.277,2
0.731,0.708,0.599,0.00385,9,0.115,-8.31,0.0373,111.971,4,0.497,2
0.00206,0.582,0.439,0.00016,9,0.124,-16.376,0.0502,107.955,4,0.378,2
0.406,0.709,0.76,2.58e-06,6,0.245,-6.007,0.0337,115.947,4,0.248,2
0.0154,0.579,0.624,0.000487,3,0.116,-8.584,0.0594,118.939,4,0.0648,2
0.86,0.616,0.214,0.000164,9,0.0945,-9.634,0.0329,114.99,4,0.447,2
0.868,0.736,0.276,1.22e-05,1,0.0985,-12.762,0.0438,139.801,4,0.622,2
0.906,0.653,0.2,0.00276,8,0.192,-10.744,0.044,127.609,4,0.319,2
0.898,0.583,0.402,1.36e-06,7,0.143,-10.659,0.0317,85.936,4,0.589,2
0.669,0.658,0.457,0.000585,9,0.105,-8.635,0.0485,132.216,4,0.31,2
0.694,0.771,0.458,0.000131,7,0.0784,-7.652,0.0328,109.084,4,0.707,2
0.534,0.684,0.144,0.0249,11,0.241,-17.419,0.0708,119.659,4,0.573,2
0.742,0.605,0.31,1.33e-05,8,0.11,-9.172,0.0272,105.85,4,0.399,2
0.771,0.574,0.392,0.000356,10,0.119,-13.092,0.056,149.137,4,0.618,2
0.974,0.371,0.057,0,5,0.113,-14.804,0.042,78.842,3,0.33,2
0.901,0.295,0.248,0.000209,11,0.115,-14.21,0.0433,176.599,3,0.475,2
0.901,0.368,0.197,2.22e-06,5,0.128,-12.884,0.0346,81.97,4,0.175,2
0.774,0.546,0.171,2.56e-06,9,0.188,-10.827,0.0314,116.361,4,0.422,2
0.87,0.881,0.317,6.43e-05,0,0.101,-10.3,0.104,119.937,4,0.642,2
0.585,0.73,0.545,0.0154,4,0.127,-10.644,0.0581,137.166,4,0.491,2
0.89,0.488,0.156,0,8,0.14,-17.617,0.037,96.576,4,0.379,2
0.755,0.468,0.275,0,0,0.103,-14.406,0.041,106.898,4,0.497,2
0.837,0.467,0.47,0.000104,9,0.103,-9.73,0.0304,84.384,4,0.301,2
0.899,0.675,0.435,0.00828,10,0.0937,-11.1,0.0335,155.97,4,0.719,2
0.937,0.459,0.0471,1.52e-05,5,0.108,-22.979,0.0822,182.878,3,0.506,2
0.489,0.774,0.4,0.00129,0,0.0952,-10.992,0.0428,134.138,4,0.322,2
0.86,0.711,0.338,0,2,0.177,-9.652,0.0887,95.904,4,0.644,2
0.884,0.572,0.25,1.84e-05,9,0.11,-15.706,0.0309,85.453,4,0.403,2
0.837,0.467,0.3,0,8,0.209,-11.777,0.0503,172.927,3,0.486,2
0.832,0.686,0.435,0,6,0.0975,-9.37,0.0425,152.004,4,0.819,2
0.941,0.619,0.11,0,5,0.103,-17.7,0.0564,137.181,4,0.397,2
0.968,0.534,0.0889,0.0471,9,0.11,-17.076,0.0892,173.205,4,0.186,2
0.672,0.7,0.477,0,2,0.0599,-10.649,0.0409,118.224,4,0.554,2
0.7,0.883,0.45,0.0407,4,0.105,-10.32,0.0908,107.967,4,0.775,2
0.681,0.702,0.32,4.18e-05,9,0.0955,-15.8,0.0607,132.662,4,0.162,2
0.977,0.353,0.0743,0.000539,2,0.0969,-19.717,0.0452,172.507,3,0.155,2
0.667,0.321,0.426,0.0115,6,0.2,-8.85,0.0398,80.458,4,0.359,2
0.889,0.694,0.404,0.000133,9,0.099,-5.654,0.0393,98.429,4,0.504,2
0.917,0.601,0.301,0.000475,1,0.125,-14.2,0.0573,118.303,4,0.363,2
0.909,0.557,0.137,0.00262,0,0.112,-20.348,0.0419,94.711,4,0.549,2
0.805,0.588,0.215,0.00146,5,0.0962,-10.405,0.0961,73.23,4,0.771,2
0.89,0.705,0.23,3.38e-05,11,0.0897,-15.204,0.0376,141.207,4,0.434,2
0.812,0.661,0.345,9.33e-06,7,0.113,-13.49,0.0379,79.99,4,0.513,2
0.931,0.626,0.317,0.363,7,0.0937,-13.692,0.0414,97.281,4,0.568,2
0.787,0.648,0.203,0,10,0.0542,-14.192,0.047,95.123,4,0.504,2
0.865,0.473,0.116,5.54e-06,6,0.11,-14.788,0.0384,79.375,3,0.293,2
0.323,0.661,0.389,0.000147,2,0.0935,-11.833,0.0354,120.764,4,0.33,2
0.907,0.569,0.25,0,3,0.135,-11.435,0.031,120.203,4,0.444,2
0.806,0.814,0.386,0.775,2,0.0729,-17.111,0.068,90.002,4,0.907,2
0.874,0.427,0.243,2.71e-06,0,0.152,-11.022,0.03,84.134,3,0.386,2
0.841,0.666,0.185,0.000981,7,0.0981,-15.179,0.0373,133.985,4,0.491,2
0.906,0.644,0.314,0.000547,8,0.0873,-14.51,0.0556,147.709,4,0.613,2
0.796,0.522,0.374,0.000257,7,0.161,-9.395,0.0348,149.854,3,0.437,2
0.812,0.652,0.365,0,7,0.305,-12.338,0.245,98.361,4,0.723,2
0.982,0.452,0.182,0.000106,6,0.107,-9.993,0.0418,74.763,3,0.459,2
0.861,0.634,0.467,1.07e-06,9,0.0943,-11.263,0.223,89.84,4,0.826,2
0.701,0.849,0.454,0,7,0.0888,-9.128,0.0287,101.037,4,0.732,2
0.815,0.62,0.385,0,1,0.114,-10.372,0.053,155.977,4,0.642,2
0.466,0.667,0.23,0.000222,10,0.18,-14.122,0.0338,115.085,4,0.435,2
0.113,0.573,0.308,0.0246,4,0.118,-14.924,0.0432,159.935,4,0.255,2
0.926,0.563,0.194,0,1,0.216,-10.486,0.0344,88.05,4,0.376,2
0.141,0.542,0.405,0.31,9,0.123,-10.951,0.042,135.128,3,0.283,2
