acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,mbti
0.682,0.504,0.471,0,11,0.108,-5.668,0.032,72.872,4,0.31,2
0.665,0.343,0.499,0,6,0.119,-5.121,0.0387,131.076,4,0.104,2
0.624,0.48,0.501,0,5,0.0748,-5.511,0.0296,110.889,4,0.222,2
0.749,0.348,0.567,0,9,0.204,-6.862,0.0588,63.59,4,0.351,2
0.662,0.679,0.541,0,7,0.338,-5.132,0.0332,111.784,4,0.28,2
0.901,0.482,0.344,0,5,0.129,-6.002,0.0318,133.499,4,0.211,2
0.686,0.387,0.515,0,2,0.16,-5.529,0.0338,135.221,4,0.199,2
0.843,0.416,0.41,0,10,0.107,-6.146,0.0292,110.252,4,0.219,2
0.548,0.758,0.533,0,9,0.104,-4.189,0.0267,76.997,4,0.395,2
0.511,0.545,0.559,1.96e-06,1,0.0947,-7.408,0.0282,73.988,4,0.338,2
0.591,0.447,0.304,0,8,0.122,-9.356,0.0303,139.959,4,0.148,2
0.807,0.521,0.451,0,0,0.0773,-6.679,0.0311,65.916,4,0.383,2
0.722,0.38,0.417,0,2,0.0864,-7.861,0.0317,130.622,4,0.258,2
0.897,0.509,0.269,0.00212,3,0.174,-8.765,0.0277,131.954,4,0.29,2
0.717,0.491,0.554,0,0,0.113,-5.65,0.143,151.736,3,0.518,2
0.259,0.631,0.774,0,2,0.222,-3.947,0.0523,91.994,4,0.336,2
0.199,0.598,0.692,0,11,0.389,-5.788,0.132,145.867,4,0.628,2
0.62,0.55,0.518,0,4,0.487,-3.722,0.0277,82.16,4,0.245,2
0.61,0.466,0.481,0,7,0.121,-4.142,0.0285,133.684,4,0.195,2
0.738,0.371,0.452,0,3,0.166,-6.555,0.0335,136.883,4,0.183,2
0.799,0.394,0.525,0,4,0.183,-4.948,0.0372,136.173,4,0.246,2
0.581,0.424,0.493,0,4,0.222,-5.621,0.0333,129.257,4,0.105,2
0.632,0.407,0.36,0,10,0.105,-6.903,0.0339,134.801,4,0.203,2
0.854,0.326,0.311,0,11,0.117,-9.135,0.0329,132.749,4,0.158,2
0.751,0.431,0.47,0,3,0.194,-6.849,0.0319,128.145,4,0.325,2
0.879,0.495,0.388,0,4,0.309,-5.236,0.0424,69.694,4,0.399,2
