acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,mbti
0.095,0.578,0.716,0,1,0.0706,-4.212,0.0439,153.63,4,0.549,0
0.683,0.48,0.589,0,6,0.101,-5.829,0.031,127.704,4,0.318,0
0.19,0.72,0.73,3.44e-06,8,0.192,-4.205,0.0237,104.017,4,0.55,0
0.774,0.581,0.444,2.27e-06,3,0.141,-6.801,0.0386,135.8,4,0.166,0
0.444,0.702,0.534,0,9,0.108,-6.102,0.0282,93.983,4,0.544,0
0.57,0.63,0.639,0,1,0.093,-5.24,0.0482,76.974,4,0.551,0
0.674,0.467,0.605,0,7,0.11,-5.773,0.0707,73.681,4,0.354,0
0.807,0.313,0.473,1.28e-06,5,0.315,-5.384,0.0297,137.617,4,0.287,0
0.633,0.4,0.601,0,8,0.115,-4.758,0.0897,175.754,4,0.461,0
0.941,0.416,0.265,0,7,0.602,-8.541,0.0288,132.328,4,0.258,0
0.539,0.763,0.884,0,6,0.0679,-2.876,0.0997,103.984,4,0.672,0
0.351,0.382,0.672,0,7,0.144,-2.836,0.032,143.643,4,0.236,0
0.183,0.487,0.741,0,9,0.231,-4.527,0.0355,82.036,4,0.349,0
0.402,0.635,0.721,1.12e-06,11,0.104,-5.84,0.0311,111.016,4,0.387,0
0.153,0.559,0.858,0,0,0.125,-3.111,0.0657,96.074,4,0.271,0
0.736,0.794,0.454,0,6,0.111,-7.268,0.035,98.054,4,0.836,0
0.323,0.529,0.32,1.27e-05,8,0.112,-8.552,0.0358,127.661,4,0.151,0
0.268,0.691,0.769,0,6,0.653,-2.496,0.044,94.037,4,0.824,0
0.165,0.766,0.745,2.35e-06,1,0.19,-2.735,0.0239,108.007,4,0.715,0
0.168,0.732,0.827,0,10,0.303,-5.278,0.132,120.024,4,0.682,0
0.0632,0.64,0.954,0,3,0.387,-3.153,0.0367,138.05,4,0.809,0
0.176,0.532,0.54,5.03e-06,2,0.298,-8.434,0.0315,139.975,4,0.243,0
0.215,0.749,0.533,0,11,0.13,-7.736,0.0439,131.996,4,0.404,0
0.88,0.648,0.313,0,7,0.136,-6.778,0.0313,113.752,4,0.436,0
0.712,0.46,0.514,0,7,0.126,-5.45,0.0373,135.183,4,0.232,0
0.515,0.659,0.676,0,10,0.139,-4.139,0.0272,110.019,4,0.326,0
0.244,0.45,0.594,0,0,0.242,-5.458,0.028,73.826,4,0.282,0
0.607,0.627,0.425,0,5,0.131,-6.581,0.0367,129.916,4,0.141,0
0.351,0.548,0.697,0,5,0.138,-2.783,0.0296,97.0,4,0.386,0
0.642,0.508,0.488,0,5,0.0932,-4.438,0.0303,123.954,4,0.263,0
0.494,0.37,0.504,0,0,0.183,-6.794,0.0311,137.528,4,0.287,0
0.552,0.595,0.901,0,5,0.164,-1.678,0.0437,118.057,4,0.526,0
0.716,0.468,0.442,0,6,0.743,-7.129,0.0357,116.437,4,0.3,0
0.756,0.48,0.549,0,4,0.107,-3.18,0.0325,135.774,4,0.156,0
0.754,0.522,0.547,0,10,0.119,-3.529,0.0288,133.793,4,0.195,0
0.403,0.421,0.715,0,7,0.0952,-2.067,0.0369,71.075,4,0.375,0
0.345,0.608,0.644,0,7,0.286,-5.678,0.0302,115.919,4,0.326,0
0.738,0.573,0.551,0,1,0.109,-5.523,0.0294,130.028,4,0.33,0
0.91,0.667,0.237,0,11,0.0996,-9.717,0.0433,132.345,4,0.623,0
0.729,0.536,0.427,1.66e-06,10,0.0682,-4.127,0.0348,129.561,4,0.217,0
0.394,0.658,0.762,0,5,0.13,-3.982,0.0321,95.994,4,0.448,0
0.332,0.581,0.532,0,2,0.506,-4.539,0.03,128.004,4,0.286,0
0.775,0.554,0.587,0,1,0.0946,-4.932,0.0372,129.975,4,0.366,0
0.455,0.521,0.746,0,3,0.098,-3.875,0.048,202.119,4,0.525,0
0.122,0.644,0.943,0,5,0.352,-3.438,0.0448,115.002,4,0.376,0
0.341,0.327,0.576,0,7,0.0678,-4.837,0.0385,76.229,4,0.595,0
0.495,0.521,0.405,0,5,0.0999,-7.26,0.0301,132.094,4,0.226,0
0.232,0.709,0.927,0,2,0.088,-3.146,0.098,127.952,4,0.711,0
0.178,0.481,0.745,0,1,0.321,-3.355,0.0449,78.967,4,0.375,0
0.768,0.448,0.527,0,1,0.122,-4.718,0.0325,135.603,4,0.294,0
